# commune	poids (population INSEE 2025)	metadata
Paris	2133111	{"cp":"75000"}
Marseille	873076	{"cp":"13000"}
Lyon	522250	{"cp":"69000"}
Toulouse	504078	{"cp":"31100"}
Nice	348085	{"cp":"06000"}
Nantes	323204	{"cp":"44200"}
Montpellier	302454	{"cp":"34080"}
Strasbourg	291313	{"cp":"67000"}
Bordeaux	261804	{"cp":"33300"}
Lille	236710	{"cp":"59260"}
Rennes	225081	{"cp":"35700"}
Toulon	180452	{"cp":"83000"}
Reims	179380	{"cp":"51100"}
Saint-Étienne	172718	{"cp":"42100"}
Le Havre	166058	{"cp":"76620"}
Dijon	159346	{"cp":"21000"}
Grenoble	157477	{"cp":"38000"}
Angers	157175	{"cp":"49000"}
Villeurbanne	156928	{"cp":"69100"}
Saint-Denis	154765	{"cp":"97400"}
Nîmes	148104	{"cp":"30900"}
Aix-en-Provence	147478	{"cp":"13100"}
Clermont-Ferrand	147327	{"cp":"63100"}
Le Mans	145004	{"cp":"72100"}
Brest	139619	{"cp":"29200"}
Tours	137658	{"cp":"37100"}
Amiens	133625	{"cp":"80090"}
Annecy	131715	{"cp":"74000"}
Limoges	129760	{"cp":"87100"}
Metz	120874	{"cp":"57070"}
Boulogne-Billancourt	119808	{"cp":"92100"}
Perpignan	119656	{"cp":"66000"}
Besançon	119198	{"cp":"25000"}
Orléans	116617	{"cp":"45000"}
Rouen	114083	{"cp":"76100"}
Saint-Denis	113942	{"cp":"93210"}
Montreuil	111455	{"cp":"93100"}
Caen	108200	{"cp":"14000"}
Argenteuil	107221	{"cp":"95100"}
Mulhouse	106341	{"cp":"68200"}
Saint-Paul	105240	{"cp":"97411"}
Nancy	104260	{"cp":"54100"}
Tourcoing	99011	{"cp":"59200"}
Roubaix	98892	{"cp":"59100"}
Nanterre	97351	{"cp":"92000"}
Vitry-sur-Seine	96205	{"cp":"94400"}
Créteil	92989	{"cp":"94000"}
Avignon	90330	{"cp":"84000"}
Poitiers	90240	{"cp":"86000"}
Aubervilliers	90071	{"cp":"93300"}
Asnières-sur-Seine	89662	{"cp":"92600"}
Colombes	88870	{"cp":"92700"}
Dunkerque	86788	{"cp":"59140"}
Aulnay-sous-Bois	86135	{"cp":"93600"}
Saint-Pierre	84077	{"cp":"97410"}
Versailles	83587	{"cp":"78000"}
Le Tampon	81943	{"cp":"97418"}
Courbevoie	81516	{"cp":"92400"}
Béziers	80341	{"cp":"34500"}
La Rochelle	78535	{"cp":"17000"}
Rueil-Malmaison	78186	{"cp":"92500"}
Cherbourg-en-Cotentin	77808	{"cp":"50110"}
Champigny-sur-Marne	77724	{"cp":"94500"}
Pau	77066	{"cp":"64000"}
Mérignac	75729	{"cp":"33700"}
Saint-Maur-des-Fossés	75441	{"cp":"94210"}
Antibes	75130	{"cp":"06160"}
Fort-de-France	74921	{"cp":"97200"}
Ajaccio	73822	{"cp":"20000"}
Cannes	73255	{"cp":"06150"}
Saint-Nazaire	72057	{"cp":"44600"}
Mamoudzou	71437	{"cp":"97600"}
Drancy	71363	{"cp":"93700"}
Noisy-le-Grand	70374	{"cp":"93160"}
Issy-les-Moulineaux	68580	{"cp":"92130"}
Cergy	68348	{"cp":"95000"}
Levallois-Perret	68009	{"cp":"92300"}
Colmar	67730	{"cp":"68000"}
Calais	67380	{"cp":"62100"}
Pessac	66760	{"cp":"33600"}
Vénissieux	66363	{"cp":"69200"}
Évry-Courcouronnes	66177	{"cp":"91080"}
Clichy	64849	{"cp":"92110"}
Valence	64483	{"cp":"26000"}
Ivry-sur-Seine	64001	{"cp":"94200"}
Bourges	63702	{"cp":"18000"}
Quimper	63642	{"cp":"29000"}
Cayenne	63468	{"cp":"97300"}
Antony	63232	{"cp":"92160"}
Troyes	62782	{"cp":"10000"}
La Seyne-sur-Mer	62763	{"cp":"83500"}
Villeneuve-d'Ascq	62067	{"cp":"59650"}
Montauban	61919	{"cp":"82000"}
Pantin	60800	{"cp":"93500"}
Chambéry	59856	{"cp":"73000"}
Niort	59309	{"cp":"79000"}
Neuilly-sur-Seine	59267	{"cp":"92200"}
Sarcelles	58424	{"cp":"95200"}
