# libellé de prestation commerciale	poids
Conduit isolé inox Diamètre 150 mm sortie de toiture	40
Kit de raccordement noir mat diamètre 130 mm	40
Plaque de sol ronde coupée noir givré	38
Percement arrivée d'air mur en pierre + grilles et gaine	36
Mise en place des échelles et d'une plate forme dans les combles	34
Livraison, raccordement et mise en marche	45
Petites fournitures	60
Main d'oeuvre, forfait déplacement	55
Fourniture et pose de matériel	50
Attestation	48
Frais de dossier	46
Prestation de conseil	44
Abonnement mensuel	42
Location de matériel	40
Remise en état après intervention	35
Évacuation des gravats	33
