# ancrage territorial, préposition incluse (départements et régions)	poids
de la Drôme	20
du Rhône	28
des Yvelines	24
de l'Ain	18
de la Gironde	26
du Nord	30
de Vaucluse	16
de l'Hérault	22
des Bouches-du-Rhône	26
de la Loire	22
du Finistère	18
de Savoie	16
de Haute-Savoie	18
de l'Isère	22
du Var	20
de la Manche	14
des Landes	14
du Doubs	14
de l'Aube	12
de la Somme	14
du Gard	18
de la Vienne	14
des Vosges	14
de l'Orne	10
du Cantal	10
de la Marne	16
de Corrèze	12
du Puy-de-Dôme	16
de Seine-Maritime	20
de Loire-Atlantique	22
de l'Essonne	18
du Val-de-Marne	18
de Seine-et-Marne	18
du Bas-Rhin	18
du Haut-Rhin	14
de la Haute-Garonne	22
des Alpes-Maritimes	20
du Morbihan	14
de Meurthe-et-Moselle	14
d'Ille-et-Vilaine	18
de Bretagne	20
de Normandie	20
de Nouvelle-Aquitaine	18
d'Occitanie	18
des Hauts-de-France	18
du Grand Est	16
de Bourgogne-Franche-Comté	14
du Centre-Val de Loire	14
de Provence-Alpes-Côte d'Azur	16
d'Auvergne-Rhône-Alpes	18
