# valeur	poids (rang Zipf — seed, à remplacer par les fréquences INSEE)
Martin	100000
Bernard	53588
Thomas	37204
Petit	28717
Robert	23492
Richard	19937
Durand	17354
Dubois	15389
Moreau	13841
Laurent	12589
Simon	11554
Michel	10684
Lefebvre	9941
Leroy	9300
Roux	8740
David	8246
Bertrand	7809
Morel	7417
Fournier	7065
Girard	6746
Bonnet	6456
Dupont	6191
Lambert	5949
Fontaine	5725
Rousseau	5518
Vincent	5327
Muller	5149
Lefevre	4983
Faure	4828
Andre	4683
Mercier	4547
Blanc	4419
Guerin	4298
Boyer	4184
Garnier	4076
Chevalier	3974
Francois	3878
Legrand	3786
Gauthier	3698
Garcia	3615
Perrin	3535
Robin	3459
Clement	3387
Morin	3318
Nicolas	3251
Henry	3187
Roussel	3126
Mathieu	3068
Gautier	3011
Masson	2957
Marchand	2905
Duval	2854
Denis	2806
Dumont	2759
Marie	2714
Lemaire	2670
Noel	2628
Meyer	2587
Dufour	2548
Meunier	2509
Brun	2472
Blanchard	2436
Giraud	2402
Joly	2368
Riviere	2335
Lucas	2303
Brunet	2272
Gaillard	2242
Barbier	2213
Arnaud	2184
Martinez	2157
Gerard	2130
Roche	2103
Renard	2078
Schmitt	2053
Roy	2028
Leroux	2005
Colin	1982
Vidal	1959
Caron	1937
Picard	1915
Roger	1894
Fabre	1874
Aubert	1854
Lemoine	1834
Renaud	1815
Dumas	1796
Lacroix	1778
Olivier	1760
Philippe	1742
Bourgeois	1725
Pierre	1708
Benoit	1691
Rey	1675
Leclerc	1659
Payet	1644
Rolland	1628
Leclercq	1613
Guillaume	1599
Lecomte	1584
Lopez	1570
Jean	1556
Dupuy	1543
Guillot	1529
Hubert	1516
Berger	1503
Carpentier	1491
Sanchez	1478
Dupuis	1466
Moulin	1454
Louis	1442
Deschamps	1431
Huet	1419
Vasseur	1408
Perez	1397
Boucher	1386
Fleury	1376
Royer	1365
Klein	1355
Jacquet	1345
Adam	1335
Paris	1325
Poirier	1315
Marty	1305
Aubry	1296
Guyot	1287
Carre	1278
Charles	1269
Renault	1260
Charpentier	1251
Menard	1242
Maillard	1234
Baron	1226
Bertin	1217
Bailly	1209
Herve	1201
Schneider	1193
Fernandez	1186
Le	1178
Gall	1170
Collet	1163
Leger	1155
Bouvier	1148
Julien	1141
Prevost	1134
Millet	1127
Perrot	1120
Daniel	1113
Le	1106
Roux	1100
Cousin	1093
Germain	1087
Diaz	1080
Ramirez	1074
Torres	1068
Flores	1062
Rivera	1056
Gomez	1050
Diaz	1044
Reyes	1038
Cruz	1032
Ortiz	1026
