# valeur	poids (rang Zipf — seed, à remplacer par les fréquences INSEE)
Marie	100000
Nathalie	53588
Isabelle	37204
Sylvie	28717
Catherine	23492
Françoise	19937
Martine	17354
Christine	15389
Monique	13841
Nicole	12589
Valérie	11554
Sandrine	10684
Céline	9941
Stéphanie	9300
Véronique	8740
Chantal	8246
Patricia	7809
Corinne	7417
Christelle	7065
Aurélie	6746
Julie	6456
Camille	6191
Emma	5949
Léa	5725
Manon	5518
Chloé	5327
Sarah	5149
Laura	4983
Marine	4828
Pauline	4683
Anne	4547
Claire	4419
Sophie	4298
Émilie	4184
Jessica	4076
Élodie	3974
Mélanie	3878
Caroline	3786
Virginie	3698
Delphine	3615
Hélène	3535
Dominique	3459
Brigitte	3387
Jacqueline	3318
Michèle	3251
Danielle	3187
Annie	3126
Josiane	3068
Geneviève	3011
Simone	2957
Alice	2905
Louise	2854
Jade	2806
Lina	2759
Rose	2714
Mila	2670
Ambre	2628
Anna	2587
Inès	2548
Léna	2509
Charlotte	2472
Clara	2436
Lucie	2402
Justine	2368
Océane	2335
Amandine	2303
Maëlys	2272
Zoé	2242
Éva	2213
Romane	2184
Fatima	2157
Aïcha	2130
Khadija	2103
Yasmine	2078
Amina	2053
Leïla	2028
Nadia	2005
Samira	1982
Karima	1959
Nora	1937
Ivonne	1915
Carmen	1894
Rosa	1874
Lucia	1854
Elena	1834
Pilar	1815
Teresa	1796
Isabel	1778
Ana	1760
Cristina	1742
