# valeur	poids (rang Zipf — seed, à remplacer par les fréquences INSEE)
Jean	100000
Michel	53588
Philippe	37204
Alain	28717
Patrick	23492
Nicolas	19937
Christophe	17354
Pierre	15389
Christian	13841
Daniel	12589
Bernard	11554
Éric	10684
Frédéric	9941
Laurent	9300
David	8740
Olivier	8246
Stéphane	7809
Pascal	7417
Thierry	7065
Sébastien	6746
Julien	6456
Thomas	6191
Nathan	5949
Lucas	5725
Hugo	5518
Léo	5327
Gabriel	5149
Raphaël	4983
Arthur	4828
Louis	4683
Antoine	4547
Maxime	4419
Alexandre	4298
Vincent	4184
Guillaume	4076
Romain	3974
Jérôme	3878
Fabien	3786
Cédric	3698
Damien	3615
André	3535
Jacques	3459
Robert	3387
René	3318
Marcel	3251
Claude	3187
Roger	3126
Henri	3068
Georges	3011
Paul	2957
Adam	2905
Ethan	2854
Noah	2806
Jules	2759
Aaron	2714
Sacha	2670
Liam	2628
Mohamed	2587
Ibrahim	2548
Youssef	2509
Théo	2472
Enzo	2436
Mathis	2402
Baptiste	2368
Clément	2335
Quentin	2303
Florian	2272
Kevin	2242
Anthony	2213
Benjamin	2184
Karim	2157
Mehdi	2130
Rachid	2103
Samir	2078
Yacine	2053
Farid	2028
Nabil	2005
Hakim	1982
Anis	1959
Sofiane	1937
Santiago	1915
Diego	1894
Carlos	1874
Miguel	1854
Javier	1834
Antonio	1815
Manuel	1796
Francisco	1778
Rafael	1760
Sergio	1742
